Edad;Sexo;Unidad;Periodo;Total
De 20 a 24 años;Mujeres;Valor absoluto;2010T3;286,8
De 20 a 24 años;Mujeres;Valor absoluto;2010T2;273,6
De 20 a 24 años;Mujeres;Valor absoluto;2010T1;262,8
De 20 a 24 años;Mujeres;Valor absoluto;2009T4;264
De 20 a 24 años;Mujeres;Valor absoluto;2009T3;288,7
De 20 a 24 años;Mujeres;Valor absoluto;2009T2;259,8
De 20 a 24 años;Mujeres;Valor absoluto;2009T1;247,6
De 20 a 24 años;Mujeres;Valor absoluto;2008T4;203,3
De 20 a 24 años;Mujeres;Valor absoluto;2008T3;176
De 20 a 24 años;Mujeres;Valor absoluto;2008T2;167,2
De 20 a 24 años;Mujeres;Valor absoluto;2008T1;160,9
De 20 a 24 años;Mujeres;Valor absoluto;2007T4;148,4
De 20 a 24 años;Mujeres;Valor absoluto;2007T3;159,4
De 20 a 24 años;Mujeres;Valor absoluto;2007T2;154,5
De 20 a 24 años;Mujeres;Valor absoluto;2007T1;161,3
De 20 a 24 años;Mujeres;Valor absoluto;2006T4;159,3
De 20 a 24 años;Mujeres;Valor absoluto;2006T3;157,2
De 20 a 24 años;Mujeres;Valor absoluto;2006T2;150,6
De 20 a 24 años;Mujeres;Valor absoluto;2006T1;156,5
De 20 a 24 años;Mujeres;Valor absoluto;2005T4;165,8
De 20 a 24 años;Mujeres;Valor absoluto;2005T3;170,7
De 20 a 24 años;Mujeres;Valor absoluto;2005T2;182,1
De 20 a 24 años;Mujeres;Valor absoluto;2005T1;203
De 20 a 24 años;Mujeres;Valor absoluto;2004T4;200,6
De 20 a 24 años;Mujeres;Valor absoluto;2004T3;214,2
De 20 a 24 años;Mujeres;Valor absoluto;2004T2;204,9
De 20 a 24 años;Mujeres;Valor absoluto;2004T1;205,9
De 20 a 24 años;Mujeres;Valor absoluto;2003T4;213,4
De 20 a 24 años;Mujeres;Valor absoluto;2003T3;207,3
De 20 a 24 años;Mujeres;Valor absoluto;2003T2;200
De 20 a 24 años;Mujeres;Valor absoluto;2003T1;214
De 20 a 24 años;Mujeres;Valor absoluto;2002T4;215,8
De 20 a 24 años;Mujeres;Valor absoluto;2002T3;218,8
De 20 a 24 años;Mujeres;Valor absoluto;2002T2;221,1
De 20 a 24 años;Mujeres;Valor absoluto;2002T1;214,3
De 20 a 24 años;Mujeres;Porcentaje;2026T1;10,8
De 20 a 24 años;Mujeres;Porcentaje;2025T4;12,1
De 20 a 24 años;Mujeres;Porcentaje;2025T3;11,7
De 20 a 24 años;Mujeres;Porcentaje;2025T2;12
De 20 a 24 años;Mujeres;Porcentaje;2025T1;10,9
De 20 a 24 años;Mujeres;Porcentaje;2024T4;10,8
De 20 a 24 años;Mujeres;Porcentaje;2024T3;12,4
De 20 a 24 años;Mujeres;Porcentaje;2024T2;9,8
De 20 a 24 años;Mujeres;Porcentaje;2024T1;9,6
De 20 a 24 años;Mujeres;Porcentaje;2023T4;10,3
De 20 a 24 años;Mujeres;Porcentaje;2023T3;10,6
De 20 a 24 años;Mujeres;Porcentaje;2023T2;10,9
De 20 a 24 años;Mujeres;Porcentaje;2023T1;10,1
De 20 a 24 años;Mujeres;Porcentaje;2022T4;10,3
De 20 a 24 años;Mujeres;Porcentaje;2022T3;11,7
De 20 a 24 años;Mujeres;Porcentaje;2022T2;10,4
De 20 a 24 años;Mujeres;Porcentaje;2022T1;8,8
De 20 a 24 años;Mujeres;Porcentaje;2021T4;9,5
De 20 a 24 años;Mujeres;Porcentaje;2021T3;10,2
De 20 a 24 años;Mujeres;Porcentaje;2021T2;11,4
De 20 a 24 años;Mujeres;Porcentaje;2021T1;10,5
De 20 a 24 años;Mujeres;Porcentaje;2020T4;10,4
De 20 a 24 años;Mujeres;Porcentaje;2020T3;11,6
De 20 a 24 años;Mujeres;Porcentaje;2020T2;11
De 20 a 24 años;Mujeres;Porcentaje;2020T1;9,9
De 20 a 24 años;Mujeres;Porcentaje;2019T4;10
De 20 a 24 años;Mujeres;Porcentaje;2019T3;11,3
De 20 a 24 años;Mujeres;Porcentaje;2019T2;10,9
De 20 a 24 años;Mujeres;Porcentaje;2019T1;10,6
De 20 a 24 años;Mujeres;Porcentaje;2018T4;10,3
De 20 a 24 años;Mujeres;Porcentaje;2018T3;10
De 20 a 24 años;Mujeres;Porcentaje;2018T2;9,4
De 20 a 24 años;Mujeres;Porcentaje;2018T1;8,4
De 20 a 24 años;Mujeres;Porcentaje;2017T4;10,2
De 20 a 24 años;Mujeres;Porcentaje;2017T3;10
De 20 a 24 años;Mujeres;Porcentaje;2017T2;10
De 20 a 24 años;Mujeres;Porcentaje;2017T1;9,6
De 20 a 24 años;Mujeres;Porcentaje;2016T4;10,2
De 20 a 24 años;Mujeres;Porcentaje;2016T3;10,9
De 20 a 24 años;Mujeres;Porcentaje;2016T2;11,2
De 20 a 24 años;Mujeres;Porcentaje;2016T1;10,6
De 20 a 24 años;Mujeres;Porcentaje;2015T4;10,6
De 20 a 24 años;Mujeres;Porcentaje;2015T3;11,5
De 20 a 24 años;Mujeres;Porcentaje;2015T2;10,7
De 20 a 24 años;Mujeres;Porcentaje;2015T1;10,4
De 20 a 24 años;Mujeres;Porcentaje;2014T4;11,5
De 20 a 24 años;Mujeres;Porcentaje;2014T3;11,9
De 20 a 24 años;Mujeres;Porcentaje;2014T2;11,5
De 20 a 24 años;Mujeres;Porcentaje;2014T1;11,8
De 20 a 24 años;Mujeres;Porcentaje;2013T4;11,7
De 20 a 24 años;Mujeres;Porcentaje;2013T3;12,3
De 20 a 24 años;Mujeres;Porcentaje;2013T2;12,1
De 20 a 24 años;Mujeres;Porcentaje;2013T1;12,1
De 20 a 24 años;Mujeres;Porcentaje;2012T4;12,4
De 20 a 24 años;Mujeres;Porcentaje;2012T3;12,8
De 20 a 24 años;Mujeres;Porcentaje;2012T2;13,2
De 20 a 24 años;Mujeres;Porcentaje;2012T1;12,4
De 20 a 24 años;Mujeres;Porcentaje;2011T4;12,7
De 20 a 24 años;Mujeres;Porcentaje;2011T3;13,9
De 20 a 24 años;Mujeres;Porcentaje;2011T2;13,7
De 20 a 24 años;Mujeres;Porcentaje;2011T1;13
De 20 a 24 años;Mujeres;Porcentaje;2010T4;13
De 20 a 24 años;Mujeres;Porcentaje;2010T3;13,7
De 20 a 24 años;Mujeres;Porcentaje;2010T2;13
De 20 a 24 años;Mujeres;Porcentaje;2010T1;12,8
De 20 a 24 años;Mujeres;Porcentaje;2009T4;13,7
De 20 a 24 años;Mujeres;Porcentaje;2009T3;15,8
De 20 a 24 años;Mujeres;Porcentaje;2009T2;14,1
De 20 a 24 años;Mujeres;Porcentaje;2009T1;13,7
De 20 a 24 años;Mujeres;Porcentaje;2008T4;13,5
De 20 a 24 años;Mujeres;Porcentaje;2008T3;14,2
De 20 a 24 años;Mujeres;Porcentaje;2008T2;14
De 20 a 24 años;Mujeres;Porcentaje;2008T1;13,9
De 20 a 24 años;Mujeres;Porcentaje;2007T4;14,2
De 20 a 24 años;Mujeres;Porcentaje;2007T3;16
De 20 a 24 años;Mujeres;Porcentaje;2007T2;15,8
De 20 a 24 años;Mujeres;Porcentaje;2007T1;15,3
De 20 a 24 años;Mujeres;Porcentaje;2006T4;15,3
De 20 a 24 años;Mujeres;Porcentaje;2006T3;15,7
De 20 a 24 años;Mujeres;Porcentaje;2006T2;14,6
De 20 a 24 años;Mujeres;Porcentaje;2006T1;14,4
De 20 a 24 años;Mujeres;Porcentaje;2005T4;16,2
De 20 a 24 años;Mujeres;Porcentaje;2005T3;17,6
De 20 a 24 años;Mujeres;Porcentaje;2005T2;17,3
De 20 a 24 años;Mujeres;Porcentaje;2005T1;17,5
De 20 a 24 años;Mujeres;Porcentaje;2004T4;16,3
De 20 a 24 años;Mujeres;Porcentaje;2004T3;17,7
De 20 a 24 años;Mujeres;Porcentaje;2004T2;16,3
De 20 a 24 años;Mujeres;Porcentaje;2004T1;16,1
De 20 a 24 años;Mujeres;Porcentaje;2003T4;16,9
De 20 a 24 años;Mujeres;Porcentaje;2003T3;16,5
De 20 a 24 años;Mujeres;Porcentaje;2003T2;16
De 20 a 24 años;Mujeres;Porcentaje;2003T1;16,3
De 20 a 24 años;Mujeres;Porcentaje;2002T4;17,4
De 20 a 24 años;Mujeres;Porcentaje;2002T3;17,6
De 20 a 24 años;Mujeres;Porcentaje;2002T2;18,2
De 20 a 24 años;Mujeres;Porcentaje;2002T1;17,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2026T1;319,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T4;294,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T3;308,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T2;308,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T1;339,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T4;324,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T3;346
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T2;315,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T1;353,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T4;348,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T3;339,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T2;313,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T1;371,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T4;365,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T3;362,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T2;304,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T1;389,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T4;400,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T3;449,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T2;473,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T1;511,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T4;501,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T3;514,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T2;467,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T1;412,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T4;403,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T3;395,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T2;389,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T1;406,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T4;399,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T3;405,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T2;433,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T1;472,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T4;456,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T3;476,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T2;485,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T1;520,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T4;510,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T3;515
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T2;556,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T1;609,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T4;599,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T3;611,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T2;628,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T1;678,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T4;681,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T3;665,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T2;700,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T1;768
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T4;773,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T3;774,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T2;824,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T1;874,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T4;854
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T3;812
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T2;792,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T1;798,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T4;727,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T3;697
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T2;697,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T1;731,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T4;712,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T3;697,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T2;690,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T1;733,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T4;692,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T3;645,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T2;625
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T1;648,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T4;516
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T3;433,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T2;370,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T1;350,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T4;311,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T3;277,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T2;257,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T1;292,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T4;310,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T3;300,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T2;317,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T1;360,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T4;340,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T3;327,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T2;356,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T1;381
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T4;382,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T3;399
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T2;409,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T1;447
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T4;440,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T3;438,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T2;428
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T1;458,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T4;441,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T3;425
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T2;410,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T1;421,1
De 25 a 29 años;Ambos sexos;Porcentaje;2026T1;11,8
De 25 a 29 años;Ambos sexos;Porcentaje;2025T4;11,9
De 25 a 29 años;Ambos sexos;Porcentaje;2025T3;11,8
De 25 a 29 años;Ambos sexos;Porcentaje;2025T2;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2025T1;12,2
De 25 a 29 años;Ambos sexos;Porcentaje;2024T4;12,5
De 25 a 29 años;Ambos sexos;Porcentaje;2024T3;12,6
De 25 a 29 años;Ambos sexos;Porcentaje;2024T2;11,5
De 25 a 29 años;Ambos sexos;Porcentaje;2024T1;11,9
De 25 a 29 años;Ambos sexos;Porcentaje;2023T4;12,2
De 25 a 29 años;Ambos sexos;Porcentaje;2023T3;11,7
De 25 a 29 años;Ambos sexos;Porcentaje;2023T2;11,2
De 25 a 29 años;Ambos sexos;Porcentaje;2023T1;11,7
De 25 a 29 años;Ambos sexos;Porcentaje;2022T4;11,9
De 25 a 29 años;Ambos sexos;Porcentaje;2022T3;12
De 25 a 29 años;Ambos sexos;Porcentaje;2022T2;10,2
De 25 a 29 años;Ambos sexos;Porcentaje;2022T1;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2021T4;12,7
De 25 a 29 años;Ambos sexos;Porcentaje;2021T3;13
De 25 a 29 años;Ambos sexos;Porcentaje;2021T2;13,2
De 25 a 29 años;Ambos sexos;Porcentaje;2021T1;13,8
De 25 a 29 años;Ambos sexos;Porcentaje;2020T4;13,5
De 25 a 29 años;Ambos sexos;Porcentaje;2020T3;13,8
De 25 a 29 años;Ambos sexos;Porcentaje;2020T2;13,9
De 25 a 29 años;Ambos sexos;Porcentaje;2020T1;12,4
De 25 a 29 años;Ambos sexos;Porcentaje;2019T4;12,7
De 25 a 29 años;Ambos sexos;Porcentaje;2019T3;12,3
De 25 a 29 años;Ambos sexos;Porcentaje;2019T2;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2019T1;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2018T4;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2018T3;12,2
De 25 a 29 años;Ambos sexos;Porcentaje;2018T2;12,4
De 25 a 29 años;Ambos sexos;Porcentaje;2018T1;12,4
De 25 a 29 años;Ambos sexos;Porcentaje;2017T4;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2017T3;12,8
De 25 a 29 años;Ambos sexos;Porcentaje;2017T2;12,4
De 25 a 29 años;Ambos sexos;Porcentaje;2017T1;12,2
De 25 a 29 años;Ambos sexos;Porcentaje;2016T4;12,1
De 25 a 29 años;Ambos sexos;Porcentaje;2016T3;11,9
De 25 a 29 años;Ambos sexos;Porcentaje;2016T2;12,2
De 25 a 29 años;Ambos sexos;Porcentaje;2016T1;12,7
De 25 a 29 años;Ambos sexos;Porcentaje;2015T4;12,5
De 25 a 29 años;Ambos sexos;Porcentaje;2015T3;12,6
De 25 a 29 años;Ambos sexos;Porcentaje;2015T2;12,2
De 25 a 29 años;Ambos sexos;Porcentaje;2015T1;12,5
De 25 a 29 años;Ambos sexos;Porcentaje;2014T4;12,5
De 25 a 29 años;Ambos sexos;Porcentaje;2014T3;12,3
De 25 a 29 años;Ambos sexos;Porcentaje;2014T2;12,5
De 25 a 29 años;Ambos sexos;Porcentaje;2014T1;12,9
De 25 a 29 años;Ambos sexos;Porcentaje;2013T4;13
De 25 a 29 años;Ambos sexos;Porcentaje;2013T3;13
De 25 a 29 años;Ambos sexos;Porcentaje;2013T2;13,6
De 25 a 29 años;Ambos sexos;Porcentaje;2013T1;13,9
De 25 a 29 años;Ambos sexos;Porcentaje;2012T4;14,2
De 25 a 29 años;Ambos sexos;Porcentaje;2012T3;13,9
De 25 a 29 años;Ambos sexos;Porcentaje;2012T2;13,8
De 25 a 29 años;Ambos sexos;Porcentaje;2012T1;14,1
De 25 a 29 años;Ambos sexos;Porcentaje;2011T4;13,8
De 25 a 29 años;Ambos sexos;Porcentaje;2011T3;13,9
De 25 a 29 años;Ambos sexos;Porcentaje;2011T2;14,4
De 25 a 29 años;Ambos sexos;Porcentaje;2011T1;14,9
De 25 a 29 años;Ambos sexos;Porcentaje;2010T4;15,2
De 25 a 29 años;Ambos sexos;Porcentaje;2010T3;15,2
De 25 a 29 años;Ambos sexos;Porcentaje;2010T2;14,8
De 25 a 29 años;Ambos sexos;Porcentaje;2010T1;15,9
De 25 a 29 años;Ambos sexos;Porcentaje;2009T4;16
De 25 a 29 años;Ambos sexos;Porcentaje;2009T3;15,7
De 25 a 29 años;Ambos sexos;Porcentaje;2009T2;15,1
De 25 a 29 años;Ambos sexos;Porcentaje;2009T1;16,1
De 25 a 29 años;Ambos sexos;Porcentaje;2008T4;16,1
De 25 a 29 años;Ambos sexos;Porcentaje;2008T3;16,7
De 25 a 29 años;Ambos sexos;Porcentaje;2008T2;15,5
De 25 a 29 años;Ambos sexos;Porcentaje;2008T1;16
De 25 a 29 años;Ambos sexos;Porcentaje;2007T4;16,1
De 25 a 29 años;Ambos sexos;Porcentaje;2007T3;15,4
De 25 a 29 años;Ambos sexos;Porcentaje;2007T2;14,5
De 25 a 29 años;Ambos sexos;Porcentaje;2007T1;15,7
De 25 a 29 años;Ambos sexos;Porcentaje;2006T4;17,1
De 25 a 29 años;Ambos sexos;Porcentaje;2006T3;17
De 25 a 29 años;Ambos sexos;Porcentaje;2006T2;17,3
De 25 a 29 años;Ambos sexos;Porcentaje;2006T1;18,6
De 25 a 29 años;Ambos sexos;Porcentaje;2005T4;18,3
De 25 a 29 años;Ambos sexos;Porcentaje;2005T3;18,4
De 25 a 29 años;Ambos sexos;Porcentaje;2005T2;18,1
De 25 a 29 años;Ambos sexos;Porcentaje;2005T1;18
De 25 a 29 años;Ambos sexos;Porcentaje;2004T4;17,6
De 25 a 29 años;Ambos sexos;Porcentaje;2004T3;18,1
De 25 a 29 años;Ambos sexos;Porcentaje;2004T2;18,2
De 25 a 29 años;Ambos sexos;Porcentaje;2004T1;19,4
De 25 a 29 años;Ambos sexos;Porcentaje;2003T4;19,4
De 25 a 29 años;Ambos sexos;Porcentaje;2003T3;19,5
De 25 a 29 años;Ambos sexos;Porcentaje;2003T2;19,3
De 25 a 29 años;Ambos sexos;Porcentaje;2003T1;19,7
De 25 a 29 años;Ambos sexos;Porcentaje;2002T4;19,8
De 25 a 29 años;Ambos sexos;Porcentaje;2002T3;19,4
De 25 a 29 años;Ambos sexos;Porcentaje;2002T2;19,5
De 25 a 29 años;Ambos sexos;Porcentaje;2002T1;19,6
De 25 a 29 años;Hombres;Valor absoluto;2026T1;164,6
De 25 a 29 años;Hombres;Valor absoluto;2025T4;162,3
De 25 a 29 años;Hombres;Valor absoluto;2025T3;149,2
De 25 a 29 años;Hombres;Valor absoluto;2025T2;167,6
De 25 a 29 años;Hombres;Valor absoluto;2025T1;175,7
De 25 a 29 años;Hombres;Valor absoluto;2024T4;164,9
De 25 a 29 años;Hombres;Valor absoluto;2024T3;179,1
De 25 a 29 años;Hombres;Valor absoluto;2024T2;156,2
De 25 a 29 años;Hombres;Valor absoluto;2024T1;181,9
De 25 a 29 años;Hombres;Valor absoluto;2023T4;169,5
De 25 a 29 años;Hombres;Valor absoluto;2023T3;156,7
De 25 a 29 años;Hombres;Valor absoluto;2023T2;171,5
De 25 a 29 años;Hombres;Valor absoluto;2023T1;191,2
De 25 a 29 años;Hombres;Valor absoluto;2022T4;191,1
De 25 a 29 años;Hombres;Valor absoluto;2022T3;163,5
De 25 a 29 años;Hombres;Valor absoluto;2022T2;153,5
De 25 a 29 años;Hombres;Valor absoluto;2022T1;204,6
De 25 a 29 años;Hombres;Valor absoluto;2021T4;216
De 25 a 29 años;Hombres;Valor absoluto;2021T3;237,6
De 25 a 29 años;Hombres;Valor absoluto;2021T2;237,6
De 25 a 29 años;Hombres;Valor absoluto;2021T1;249,2
De 25 a 29 años;Hombres;Valor absoluto;2020T4;250,6
De 25 a 29 años;Hombres;Valor absoluto;2020T3;250
De 25 a 29 años;Hombres;Valor absoluto;2020T2;235,7
De 25 a 29 años;Hombres;Valor absoluto;2020T1;203,3
De 25 a 29 años;Hombres;Valor absoluto;2019T4;208,9
De 25 a 29 años;Hombres;Valor absoluto;2019T3;201
De 25 a 29 años;Hombres;Valor absoluto;2019T2;206,4
De 25 a 29 años;Hombres;Valor absoluto;2019T1;208,8
De 25 a 29 años;Hombres;Valor absoluto;2018T4;203,5
De 25 a 29 años;Hombres;Valor absoluto;2018T3;197
De 25 a 29 años;Hombres;Valor absoluto;2018T2;210
De 25 a 29 años;Hombres;Valor absoluto;2018T1;231,7
De 25 a 29 años;Hombres;Valor absoluto;2017T4;225,3
De 25 a 29 años;Hombres;Valor absoluto;2017T3;227,8
De 25 a 29 años;Hombres;Valor absoluto;2017T2;236,7
De 25 a 29 años;Hombres;Valor absoluto;2017T1;258
De 25 a 29 años;Hombres;Valor absoluto;2016T4;251,5
De 25 a 29 años;Hombres;Valor absoluto;2016T3;249,7
De 25 a 29 años;Hombres;Valor absoluto;2016T2;279
De 25 a 29 años;Hombres;Valor absoluto;2016T1;304,5
De 25 a 29 años;Hombres;Valor absoluto;2015T4;320,6
De 25 a 29 años;Hombres;Valor absoluto;2015T3;314,6
De 25 a 29 años;Hombres;Valor absoluto;2015T2;326,7
De 25 a 29 años;Hombres;Valor absoluto;2015T1;347,8
De 25 a 29 años;Hombres;Valor absoluto;2014T4;357,2
De 25 a 29 años;Hombres;Valor absoluto;2014T3;339,7
De 25 a 29 años;Hombres;Valor absoluto;2014T2;361,7
De 25 a 29 años;Hombres;Valor absoluto;2014T1;399,5
De 25 a 29 años;Hombres;Valor absoluto;2013T4;413,5
De 25 a 29 años;Hombres;Valor absoluto;2013T3;415,9
De 25 a 29 años;Hombres;Valor absoluto;2013T2;437,9
De 25 a 29 años;Hombres;Valor absoluto;2013T1;460,7
De 25 a 29 años;Hombres;Valor absoluto;2012T4;453,9
De 25 a 29 años;Hombres;Valor absoluto;2012T3;447,3
De 25 a 29 años;Hombres;Valor absoluto;2012T2;450,2
De 25 a 29 años;Hombres;Valor absoluto;2012T1;441,3
De 25 a 29 años;Hombres;Valor absoluto;2011T4;391,1
De 25 a 29 años;Hombres;Valor absoluto;2011T3;376,9
De 25 a 29 años;Hombres;Valor absoluto;2011T2;374,1
De 25 a 29 años;Hombres;Valor absoluto;2011T1;393
De 25 a 29 años;Hombres;Valor absoluto;2010T4;382,9
De 25 a 29 años;Hombres;Valor absoluto;2010T3;372,5
De 25 a 29 años;Hombres;Valor absoluto;2010T2;381
De 25 a 29 años;Hombres;Valor absoluto;2010T1;412
De 25 a 29 años;Hombres;Valor absoluto;2009T4;383,3
De 25 a 29 años;Hombres;Valor absoluto;2009T3;370,7
De 25 a 29 años;Hombres;Valor absoluto;2009T2;354,6
De 25 a 29 años;Hombres;Valor absoluto;2009T1;373
De 25 a 29 años;Hombres;Valor absoluto;2008T4;293,2
De 25 a 29 años;Hombres;Valor absoluto;2008T3;231,2
De 25 a 29 años;Hombres;Valor absoluto;2008T2;196
De 25 a 29 años;Hombres;Valor absoluto;2008T1;171,2
De 25 a 29 años;Hombres;Valor absoluto;2007T4;135,9
De 25 a 29 años;Hombres;Valor absoluto;2007T3;129,6
De 25 a 29 años;Hombres;Valor absoluto;2007T2;114,6
De 25 a 29 años;Hombres;Valor absoluto;2007T1;133,5
De 25 a 29 años;Hombres;Valor absoluto;2006T4;140,6
De 25 a 29 años;Hombres;Valor absoluto;2006T3;131,5
De 25 a 29 años;Hombres;Valor absoluto;2006T2;132,1
De 25 a 29 años;Hombres;Valor absoluto;2006T1;146,3
De 25 a 29 años;Hombres;Valor absoluto;2005T4;151
De 25 a 29 años;Hombres;Valor absoluto;2005T3;150
De 25 a 29 años;Hombres;Valor absoluto;2005T2;159,9
De 25 a 29 años;Hombres;Valor absoluto;2005T1;171,3
De 25 a 29 años;Hombres;Valor absoluto;2004T4;163,2
De 25 a 29 años;Hombres;Valor absoluto;2004T3;179,6
De 25 a 29 años;Hombres;Valor absoluto;2004T2;170,7
De 25 a 29 años;Hombres;Valor absoluto;2004T1;195,3
De 25 a 29 años;Hombres;Valor absoluto;2003T4;183,9
De 25 a 29 años;Hombres;Valor absoluto;2003T3;180,9
De 25 a 29 años;Hombres;Valor absoluto;2003T2;172,3
De 25 a 29 años;Hombres;Valor absoluto;2003T1;189,7
De 25 a 29 años;Hombres;Valor absoluto;2002T4;187,6
De 25 a 29 años;Hombres;Valor absoluto;2002T3;173
De 25 a 29 años;Hombres;Valor absoluto;2002T2;168,8
De 25 a 29 años;Hombres;Valor absoluto;2002T1;171,1
