measure,exposure_nearest,exposure_weighted,observed_exposure_jev_nearest,observed_exposure_jev_weighted,observed_exposure_jev_direct,bls_ai_category_code,frs_lm_percentile
exposure_nearest,1.0,0.8796907173373983,0.7565705841335776,0.7802681887337815,0.5822721438317109,,0.6659943944026272
exposure_weighted,0.8796907173373983,1.0,0.761737514527579,0.8056801903505713,0.6439121306127799,,0.7019451172566539
observed_exposure_jev_nearest,0.7565705841335776,0.761737514527579,1.0,0.8957126135008651,0.6457566194321592,,0.6278845196876899
observed_exposure_jev_weighted,0.7802681887337815,0.8056801903505713,0.8957126135008651,1.0,0.7097710645466876,,0.7107573109973474
observed_exposure_jev_direct,0.5822721438317109,0.6439121306127799,0.6457566194321592,0.7097710645466876,1.0,,0.7853614352665488
bls_ai_category_code,,,,,,,
frs_lm_percentile,0.6659943944026272,0.7019451172566539,0.6278845196876899,0.7107573109973474,0.7853614352665488,,1.0
