cno4,pdf_title_line,pdf_page,sepe_title,in_pdf,in_sepe
5922,Policías autonómicos,225,Policías autonómicos,True,True
5923,Policías locales,226,Policías locales,True,True
5931,Bomberos (excepto forestales),226,Bomberos (excepto forestales),True,True
5932,Bomberos forestales,227,Bomberos forestales,True,True
5941,Vigilantes de seguridad y similares habilitados para ir armados,227,Vigilantes de seguridad y similares habilitados para ir armados,True,True
5942,Auxiliares de vigilante de seguridad y similares no habilitados para ir armados,228,Auxiliares de vigilante de seguridad y similares no habilitados para ir armados,True,True
5991,Vigilantes de prisiones,229,Vigilantes de prisiones,True,True
5992,Bañistas-socorristas,229,Bañistas-socorristas,True,True
5993,Agentes forestales y medioambientales,230,Agentes forestales y medioambientales,True,True
5999,Trabajadores de los servicios de protección y seguridad no clasificados bajo,230,Trabajadores de los servicios de protección y seguridad no clasificados bajo otros epígrafes,True,True
6110,"Trabajadores cualificados en actividades agrícolas (excepto en huertas,",231,"Trabajadores cualificados en actividades agrícolas (excepto en huertas, invernaderos, viveros y jardines)",True,True
6120,"Trabajadores cualificados en huertas, invernaderos, viveros y jardines",232,"Trabajadores cualificados en huertas, invernaderos, viveros y jardines",True,True
6201,Trabajadores cualificados en actividades ganaderas de vacuno,233,Trabajadores cualificados en actividades ganaderas de vacuno,True,True
6202,Trabajadores cualificados en actividades ganaderas de ovino y caprino,234,Trabajadores cualificados en actividades ganaderas de ovino y caprino,True,True
6203,Trabajadores cualificados en actividades ganaderas de porcino,235,Trabajadores cualificados en actividades ganaderas de porcino,True,True
6204,Trabajadores cualificados en apicultura y sericicultura,236,Trabajadores cualificados en apicultura y sericicultura,True,True
6205,Trabajadores cualificados en la avicultura y la cunicultura,237,Trabajadores cualificados en la avicultura y la cunicultura,True,True
6209,Trabajadores cualificados en actividades ganaderas no clasificados bajo otros,238,Trabajadores cualificados en actividades ganaderas no clasificados bajo otros epígrafes,True,True
6300,Trabajadores cualificados en actividades agropecuarias mixtas,239,Trabajadores cualificados en actividades agropecuarias mixtas,True,True
6410,Trabajadores cualificados en actividades forestales y del medio natural,240,Trabajadores cualificados en actividades forestales y del medio natural,True,True
6421,Trabajadores cualificados en la acuicultura,241,Trabajadores cualificados en la acuicultura,True,True
6422,Pescadores de aguas costeras y aguas dulces,242,Pescadores de aguas costeras y aguas dulces,True,True
6423,Pescadores de altura,243,Pescadores de altura,True,True
6430,Trabajadores cualificados en actividades cinegéticas,244,Trabajadores cualificados en actividades cinegéticas,True,True
7111,Encofradores y operarios de puesta en obra de hormigón,244,Encofradores y operarios de puesta en obra de hormigón,True,True
7112,Montadores de prefabricados estructurales (sólo hormigón),245,Montadores de prefabricados estructurales (sólo hormigón),True,True
7121,Albañiles,246,Albañiles,True,True
7122,"Canteros, tronzadores, labrantes y grabadores de piedras",246,"Canteros, tronzadores, labrantes y grabadores de piedras",True,True
7131,Carpinteros (excepto ebanistas),247,Carpinteros (excepto ebanistas),True,True
7132,Instaladores de cerramientos metálicos y carpinteros metálicos (excepto,247,Instaladores de cerramientos metálicos y carpinteros metálicos (excepto montadores de estructuras metálicas),True,True
7191,Mantenedores de edificios,248,Mantenedores de edificios,True,True
7192,Instaladores de fachadas técnicas,249,Instaladores de fachadas técnicas,True,True
7193,Instaladores de sistemas de impermeabilización en edificios,249,Instaladores de sistemas de impermeabilización en edificios,True,True
7199,Otros trabajadores de las obras estructurales de construcción no clasificados,249,Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes,True,True
7211,Escayolistas,250,Escayolistas,True,True
7212,Aplicadores de revestimientos de pasta y mortero,251,Aplicadores de revestimientos de pasta y mortero,True,True
7221,Fontaneros,251,Fontaneros,True,True
7222,Montadores-instaladores de gas en edificios,252,Montadores-instaladores de gas en edificios,True,True
7223,Instaladores de conductos en obra pública,252,Instaladores de conductos en obra pública,True,True
7231,Pintores y empapeladores,253,Pintores y empapeladores,True,True
7232,Pintores en las industrias manufactureras,254,Pintores en las industrias manufactureras,True,True
7240,"Soladores, colocadores de parquet y afines",254,"Soladores, colocadores de parquet y afines",True,True
7250,Mecánicos-instaladores de refrigeración y climatización,255,Mecánicos-instaladores de refrigeración y climatización,True,True
7291,Montadores de cubiertas,255,Montadores de cubiertas,True,True
7292,Instaladores de material aislante térmico y de insonorización,256,Instaladores de material aislante térmico y de insonorización,True,True
7293,Cristaleros,256,Cristaleros,True,True
7294,Montadores-instaladores de placas de energía solar,257,Montadores-instaladores de placas de energía solar,True,True
7295,Personal de limpieza de fachadas de edificios y chimeneas,258,Personal de limpieza de fachadas de edificios y chimeneas,True,True
7311,Moldeadores y macheros,258,Moldeadores y macheros,True,True
7312,Soldadores y oxicortadores,259,Soldadores y oxicortadores,True,True
7313,Chapistas y caldereros,260,Chapistas y caldereros,True,True
7314,Montadores de estructuras metálicas,260,Montadores de estructuras metálicas,True,True
7315,Montadores de estructuras cableadas y empalmadores de cables,261,Montadores de estructuras cableadas y empalmadores de cables,True,True
7321,Herreros y forjadores,262,Herreros y forjadores,True,True
7322,"Trabajadores de la fabricación de herramientas, mecánico- ajustadores,",262,"Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines",True,True
7323,Ajustadores y operadores de máquinas-herramienta,263,Ajustadores y operadores de máquinas-herramienta,True,True
7324,Pulidores de metales y afiladores de herramientas,264,Pulidores de metales y afiladores de herramientas,True,True
7401,Mecánicos y ajustadores de vehículos de motor,265,Mecánicos y ajustadores de vehículos de motor,True,True
7402,Mecánicos y ajustadores de motores de avión,265,Mecánicos y ajustadores de motores de avión,True,True
7403,Mecánicos y ajustadores de maquinaria agrícola e industrial,266,Mecánicos y ajustadores de maquinaria agrícola e industrial,True,True
7404,Mecánicos y ajustadores de maquinaria naval y ferroviaria,267,Mecánicos y ajustadores de maquinaria naval y ferroviaria,True,True
7405,Reparadores de bicicletas y afines,267,Reparadores de bicicletas y afines,True,True
7510,Electricistas de la construcción y afines,268,Electricistas de la construcción y afines,True,True
7521,Mecánicos y reparadores de equipos eléctricos,269,Mecánicos y reparadores de equipos eléctricos,True,True
7522,Instaladores y reparadores de líneas eléctricas,269,Instaladores y reparadores de líneas eléctricas,True,True
7531,Mecánicos y reparadores de equipos electrónicos,270,Mecánicos y reparadores de equipos electrónicos,True,True
7532,Instaladores y reparadores en electromedicina,271,Instaladores y reparadores en electro medicina,True,True
7533,Instaladores y reparadores en tecnologías de la información y las comunica-,271,Instaladores y reparadores en tecnologías de la información y las comunicaciones,True,True
7611,Relojeros y mecánicos de instrumentos de precisión,272,Relojeros y mecánicos de instrumentos de precisión,True,True
7612,Lutieres y similares; afinadores de instrumentos musicales,273,Lutieres y similares; afinadores de instrumentos musicales,True,True
7613,"Joyeros, orfebres y plateros",274,"Joyeros, orfebres y plateros",True,True
7614,"Trabajadores de la cerámica, alfareros y afines",275,"Trabajadores de la cerámica, alfareros y afines",True,True
7615,"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio",275,"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio",True,True
7616,"Rotulistas, grabadores de vidrio, pintores decorativos de artículos diversos",276,"Rotulistas, grabadores de vidrio, pintores decorativos de artículos diversos",True,True
7617,"Artesanos en madera y materiales similares; cesteros, bruceros y trabajadores",277,Artesanos en madera y materiales similares,True,True
7618,"Artesanos en tejidos, cueros y materiales similares, preparadores de fibra y",278,"Artesanos en tejidos, cueros y materiales similares, preparadores de fibra y tejedores con telares artesanos o de tejidos de punto y afines",True,True
7619,Artesanos no clasificados bajo otros epígrafes,279,Artesanos no clasificados bajo otros epígrafes,True,True
7621,Trabajadores de procesos de preimpresión,280,Trabajadores de procesos de preimpresión,True,True
7622,Trabajadores de procesos de impresión,280,Trabajadores de procesos de impresión,True,True
7623,Trabajadores de procesos de encuadernación,281,Trabajadores de procesos de encuadernación,True,True
7701,Matarifes y trabajadores de las industrias cárnicas,282,Matarifes y trabajadores de las industrias cárnicas,True,True
7702,Trabajadores de las industrias del pescado,282,Trabajadores de las industrias del pescado,True,True
7703,"Panaderos, pasteleros y confiteros",283,"Panaderos, pasteleros y confiteros",True,True
7704,Trabajadores del tratamiento de la leche y elaboración de productos lácteos,283,Trabajadores del tratamiento de la leche y elaboración de productos lácteos (incluidos helados),True,True
7705,Trabajadores conserveros de frutas y hortalizas y trabajadores de la elabor a-,284,Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas,True,True
7706,Trabajadores de la elaboración de bebidas alcohólicas distintas del vino,285,Trabajadores de la elaboración de bebidas alcohólicas distintas del vino,True,True
7707,Trabajadores de la elaboración del vino,286,Trabajadores de la elaboración del vino,True,True
7708,Preparadores y elaboradores del tabaco y sus productos,286,Preparadores y elaboradores del tabaco y sus productos,True,True
7709,Catadores y clasificadores de alimentos y bebidas,287,Catadores y clasificadores de alimentos y bebidas,True,True
7811,Trabajadores del tratamiento de la madera,287,Trabajadores del tratamiento de la madera,True,True
7812,Ajustadores y operadores de máquinas para trabajar la madera,288,Ajustadores y operadores de máquinas para trabajar la madera,True,True
7820,Ebanistas y trabajadores afines,289,Ebanistas y trabajadores afines,True,True
7831,"Sastres, modistos, peleteros y sombrereros",290,"Sastres, modistos, peleteros y sombrereros",True,True
7832,Patronistas para productos en textil y piel,290,Patronistas para productos en textil y piel,True,True
7833,"Cortadores de tejidos, cuero, piel y otros materiales",291,"Cortadores de tejidos, cuero, piel y otros materiales",True,True
7834,"Costureros a mano, bordadores y afines",292,"Costureros a mano, bordadores y afines",True,True
7835,"Tapiceros, colchoneros y afines",292,"Tapiceros, colchoneros y afines",True,True
7836,Curtidores y preparadores de pieles,293,Curtidores y preparadores de pieles,True,True
7837,Zapateros y afines,294,Zapateros y afines,True,True
7891,Buceadores,295,Buceadores,True,True
7892,Pegadores,295,Pegadores,True,True
7893,"Clasificadores y probadores de productos (excepto alimentos, bebidas y",296,"Clasificadores y probadores de productos (excepto alimentos, bebidas y tabaco)",True,True
7894,Fumigadores y otros controladores de plagas y malas hierbas,297,Fumigadores y otros controladores de plagas y malas hierbas,True,True
7899,"Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros",298,"Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes",True,True
8111,Mineros y otros operadores en instalaciones mineras,298,Mineros y otros operadores en instalaciones mineras,True,True
8112,Operadores en instalaciones para la preparación de minerales y rocas,299,Operadores en instalaciones para la preparación de minerales y rocas,True,True
8113,Sondistas y trabajadores afines,300,Sondistas y trabajadores afines,True,True
8114,Operadores de maquinaria para fabricar productos derivados de minerales no,301,Operadores de maquinaria para fabricar productos derivados de minerales no metálicos,True,True
8121,Operadores en instalaciones para la obtención y transformación de metales,302,Operadores en instalaciones para la obtención y transformación de metales,True,True
8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales",303,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales",True,True
8131,Operadores en plantas industriales químicas,303,Operadores en plantas industriales químicas,True,True
8132,"Operadores de máquinas para fabricar productos farmacéuticos, cosméticos y",304,"Operadores de máquinas para fabricar productos farmacéuticos, cosméticos y afines",True,True
8133,Operadores de laboratorios fotográficos y afines,305,Operadores de laboratorios fotográficos y afines,True,True
8141,Operadores de máquinas para fabricar productos de caucho y derivados de,305,Operadores de máquinas para fabricar productos de caucho y derivados de resinas naturales,True,True
8142,Operadores de máquinas para fabricar productos de material plástico,306,Operadores de máquinas para fabricar productos de material plástico,True,True
8143,Operadores de máquinas para fabricar productos de papel y cartón,307,Operadores de máquinas para fabricar productos de papel y cartón,True,True
8144,"Operadores de serrerías, de máquinas de fabricación de tableros y de instal a-",307,"Operadores de serrerías, de máquinas de fabricación de tableros y de instalaciones afines para el tratamiento de la madera y el corcho",True,True
8145,Operadores en instalaciones para la preparación de pasta de papel y fabrica-,308,Operadores en instalaciones para la preparación de pasta de papel y fabricación de papel,True,True
8151,"Operadores de máquinas para preparar fibras, hilar y devanar",309,"Operadores de máquinas para preparar fibras, hilar y devanar",True,True
8152,Operadores de telares y otras máquinas tejedoras,310,Operadores de telares y otras máquinas tejedoras,True,True
8153,Operadores de máquinas de coser y bordar,310,Operadores de máquinas de coser y bordar,True,True
8154,"Operadores de máquinas de blanquear, teñir, estampar y acabar textiles",311,"Operadores de máquinas de blanquear, teñir, estampar y acabar textiles",True,True
8155,Operadores de máquinas para tratar pieles y cuero,312,Operadores de máquinas para tratar pieles y cuero,True,True
8156,"Operadores de máquinas para la fabricación del calzado, marroquinería y",313,"Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel",True,True
8159,Operadores de máquinas para fabricar productos textiles no clasifica dos bajo,314,Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes,True,True
8160,"Operadores de máquinas para elaborar productos aliment icios, bebidas y",314,"Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco",True,True
8170,Operadores de máquinas de lavandería y tintorería,315,Operadores de máquinas de lavandería y tintorería,True,True
8191,Operadores de hornos e instalaciones de vidriería y cerámica,316,Operadores de hornos e instalaciones de vidriería y cerámica,True,True
8192,Operadores de calderas y máquinas de vapor,317,Operadores de calderas y máquinas de vapor,True,True
8193,"Operadores de máquinas de embalaje, embotellamiento y etiquetado",318,"Operadores de máquinas de embalaje, embotellamiento y etiquetado",True,True
8199,Operadores de instalaciones y maquinaria fijas no clasificados bajo otros,318,Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epígrafes,True,True
8201,Ensambladores de maquinaria mecánica,318,Ensambladores de maquinaria mecánica,True,True
8202,Ensambladores de equipos eléctricos y electrónicos,319,Ensambladores de equipos eléctricos y electrónicos,True,True
8209,Montadores y ensambladores no clasificados en otros epígrafes,320,Montadores y ensambladores no clasificados en otros epígrafes,True,True
8311,Maquinistas de locomotoras,321,Maquinistas de locomotoras,True,True
8312,Agentes de maniobras ferroviarias,321,Agentes de maniobras ferroviarias,True,True
8321,Operadores de maquinaria agrícola móvil,322,Operadores de maquinaria agrícola móvil,True,True
8322,Operadores de maquinaria forestal móvil,322,Operadores de maquinaria forestal móvil,True,True
8331,Operadores de maquinaria de movimientos de tierras y equipos similares,323,Operadores de maquinaria de movimientos de tierras y equipos similares,True,True
8332,"Operadores de grúas, montacargas y de maquinaria similar de mov imiento de",323,"Operadores de grúas, montacargas y de maquinaria similar de movimiento de materiales",True,True
8333,Operadores de carretillas elevadoras,324,Operadores de carretillas elevadoras,True,True
8340,"Marineros de puente, marineros de máquinas y afines",325,"Marineros de puente, marineros de máquinas y afines",True,True
8411,"Conductores propietarios de automóviles, taxis y furgonetas",325,"Conductores propietarios de automóviles, taxis y furgonetas",True,True
8412,"Conductores asalariados de automóviles, taxis y furgonetas",326,"Conductores asalariados de automóviles, taxis y furgonetas",True,True
8420,Conductores de autobuses y tranvías,326,Conductores de autobuses y tranvías,True,True
8431,Conductores propietarios de camiones,327,Conductores propietarios de camiones,True,True
8432,Conductores asalariados de camiones,328,Conductores asalariados de camiones,True,True
8440,Conductores de motocicletas y ciclomotores,328,Conductores de motocicletas y ciclomotores,True,True
9100,Empleados domésticos,330,Empleados domésticos,True,True
9210,"Personal de limpieza de oficinas, hoteles y otros establecimientos similares",330,"Personal de limpieza de oficinas, hoteles y otros establecimientos similares",True,True
9221,Limpiadores en seco a mano y afines,331,Limpiadores en seco a mano y afines,True,True
9222,Limpiadores de vehículos,332,Limpiadores de vehículos,True,True
9223,Limpiadores de ventanas,332,Limpiadores de ventanas,True,True
9229,Otro personal de limpieza,333,Otro personal de limpieza,True,True
9310,Ayudantes de cocina,333,Ayudantes de cocina,True,True
9320,Preparadores de comidas rápidas,334,Preparadores de comidas rápidas,True,True
9410,Vendedores callejeros,335,Vendedores callejeros,True,True
9420,"Repartidores de publicidad, limpiabotas y otros trabajadores de oficios",335,"Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros",True,True
9431,Ordenanzas,336,Ordenanzas,True,True
9432,Mozos de equipaje y afines,336,Mozos de equipaje y afines,True,True
9433,"Repartidores, recadistas y mensajeros a pie",337,"Repartidores, recadistas y mensajeros a pie",True,True
9434,Lectores de contadores y recaudadores de máquinas recreativas y expendedo-,338,Lectores de contadores y recaudadores de máquinas recreativas y expendedoras,True,True
9441,Recogedores de residuos,338,Recogedores de residuos,True,True
9442,"Clasificadores de desechos, operarios de punto limpio y recogedores de",339,"Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra",True,True
9443,Barrenderos y afines,339,Barrenderos y afines,True,True
9490,Otras ocupaciones elementales,340,Otras ocupaciones elementales,True,True
9511,"Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines)",341,"Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines)",True,True
9512,"Peones agrícolas en huertas, invernaderos, viveros y jardines",341,"Peones agrícolas en huertas, invernaderos, viveros y jardines",True,True
9520,Peones ganaderos,342,Peones ganaderos,True,True
9530,Peones agropecuarios,343,Peones agropecuarios,True,True
9541,Peones de la pesca,344,Peones de la pesca,True,True
9542,Peones de la acuicultura,344,Peones de la acuicultura,True,True
9543,Peones forestales y de la caza,345,Peones forestales y de la caza,True,True
9601,Peones de obras públicas,345,Peones de obras públicas,True,True
9602,Peones de la construcción de edificios,346,Peones de la construcción de edificios,True,True
9603,"Peones de la minería, canteras y otras industrias extractivas",346,"Peones de la minería, canteras y otras industrias extractivas",True,True
9700,Peones de las industrias manufactureras,347,Peones de las industrias manufactureras,True,True
9811,Peones del transporte de mercancías y descargadores,348,Peones del transporte de mercancías y descargadores,True,True
9812,Conductores de vehículos de tracción animal para el transporte de personas y,349,Conductores de vehículos de tracción animal para el transporte de personas y similares,True,True
9820,Reponedores,350,Reponedores,True,True
