cno4,total_meses,meses_parados_0,porcentaje_meses_parados_0
5412,63,0,0.0
5420,63,0,0.0
5430,63,0,0.0
5491,63,0,0.0
5492,63,0,0.0
5493,63,0,0.0
5499,63,0,0.0
5500,63,0,0.0
5611,63,0,0.0
5612,63,0,0.0
5621,63,0,0.0
5622,63,0,0.0
5629,63,0,0.0
5710,63,0,0.0
5721,63,0,0.0
5722,63,0,0.0
5811,63,0,0.0
5812,63,0,0.0
5821,63,0,0.0
5822,63,0,0.0
5823,63,0,0.0
5824,63,0,0.0
5825,63,0,0.0
5831,63,0,0.0
5832,63,0,0.0
5833,63,0,0.0
5840,63,0,0.0
5891,63,0,0.0
5892,63,0,0.0
5893,63,0,0.0
5894,63,0,0.0
5895,63,0,0.0
5899,63,0,0.0
5910,63,0,0.0
5921,63,0,0.0
5922,63,0,0.0
5923,63,0,0.0
5931,63,0,0.0
5932,63,0,0.0
5941,63,0,0.0
5942,63,0,0.0
5991,63,0,0.0
5992,63,0,0.0
5993,63,0,0.0
5999,63,0,0.0
6110,63,0,0.0
6120,63,0,0.0
6201,63,0,0.0
6202,63,0,0.0
6203,63,0,0.0
6204,63,0,0.0
6205,63,0,0.0
6209,63,0,0.0
6300,63,0,0.0
6410,63,0,0.0
6421,63,0,0.0
6422,63,0,0.0
6423,63,0,0.0
7111,63,0,0.0
7112,63,0,0.0
7121,63,0,0.0
7122,63,0,0.0
7131,63,0,0.0
7132,63,0,0.0
7191,63,0,0.0
7192,63,0,0.0
7193,63,0,0.0
7199,63,0,0.0
7211,63,0,0.0
7212,63,0,0.0
7221,63,0,0.0
7222,63,0,0.0
7223,63,0,0.0
7231,63,0,0.0
7232,63,0,0.0
7240,63,0,0.0
7250,63,0,0.0
7291,63,0,0.0
7292,63,0,0.0
7293,63,0,0.0
7294,63,0,0.0
7295,63,0,0.0
7311,63,0,0.0
7312,63,0,0.0
7313,63,0,0.0
7314,63,0,0.0
7315,63,0,0.0
7321,63,0,0.0
7322,63,0,0.0
7323,63,0,0.0
7324,63,0,0.0
7401,63,0,0.0
7402,63,0,0.0
7403,63,0,0.0
7404,63,0,0.0
7405,63,0,0.0
7510,63,0,0.0
7521,63,0,0.0
7522,63,0,0.0
7531,63,0,0.0
7532,63,0,0.0
7533,63,0,0.0
7611,63,0,0.0
7612,63,0,0.0
7613,63,0,0.0
7614,63,0,0.0
7615,63,0,0.0
7616,63,0,0.0
7617,63,0,0.0
7618,63,0,0.0
7619,63,0,0.0
7621,63,0,0.0
7622,63,0,0.0
7623,63,0,0.0
7701,63,0,0.0
7702,63,0,0.0
7703,63,0,0.0
7704,63,0,0.0
7705,63,0,0.0
7706,63,0,0.0
7707,63,0,0.0
7708,63,0,0.0
7709,63,0,0.0
7811,63,0,0.0
