period,cno4,dimension,category,gender,contratos,parados,personas,source_url
2022-09,2220,province,Teruel,Total,1,2,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Toledo,Total,16,20,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Valencia/València,Total,216,121,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Valladolid,Total,56,19,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Bizkaia,Total,237,248,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Zamora,Total,6,12,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Zaragoza,Total,97,37,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Ceuta,Total,0,2,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2220,province,Melilla,Total,6,1,,provider://sepe/ocup_prov_2022.xlsx#2220/2022-09
2022-09,2230,gender,Hombre,Hombre,4746,3507,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,gender,Mujer,Mujer,7118,6314,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,age,<18,Total,1,0,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,age,18-24,Total,802,196,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,age,25-29,Total,3147,1589,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,age,30-39,Total,3934,2307,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,age,40-44,Total,1425,1379,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,age,>44,Total,2555,4350,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Araba/Álava,Total,136,95,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Albacete,Total,25,97,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Alicante/Alacant,Total,259,412,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Almería,Total,96,131,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Ávila,Total,6,38,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Badajoz,Total,134,145,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,"Balears, Illes",Total,361,130,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
